alpha,beta,window_size,total_origins,violation_count,violation_rate,avg_var,avg_loss,mean_crash_prob,kupiec_statistic,kupiec_pvalue,kupiec_reject_null,cc_statistic,cc_pvalue,cc_reject_null
0.1,0.0,30,36,12,0.333333,-0.004584,0.017532,0.0,28.530633,0.0,True,29.954427,0.0,True
0.1,0.0,60,36,12,0.333333,-0.0045,0.017532,0.0,28.530633,0.0,True,29.954427,0.0,True
0.1,0.0,90,36,12,0.333333,-0.004452,0.017532,0.0,28.530633,0.0,True,29.954427,0.0,True
0.1,0.1,30,36,12,0.333333,-0.004584,0.017532,0.0,28.530633,0.0,True,29.954427,0.0,True
0.1,0.1,60,36,12,0.333333,-0.0045,0.017532,0.0,28.530633,0.0,True,29.954427,0.0,True
0.1,0.1,90,36,12,0.333333,-0.004452,0.017532,0.0,28.530633,0.0,True,29.954427,0.0,True
0.1,0.3,30,36,12,0.333333,-0.004584,0.017532,0.0,28.530633,0.0,True,29.954427,0.0,True
0.1,0.3,60,36,12,0.333333,-0.0045,0.017532,0.0,28.530633,0.0,True,29.954427,0.0,True
0.1,0.3,90,36,12,0.333333,-0.004452,0.017532,0.0,28.530633,0.0,True,29.954427,0.0,True
0.4,0.0,30,36,10,0.277778,-0.007856,0.017532,0.0,20.041255,8e-06,True,21.464202,2.2e-05,True
0.4,0.0,60,36,11,0.305556,-0.007267,0.017532,0.0,24.154898,1e-06,True,27.150704,1e-06,True
0.4,0.0,90,36,11,0.305556,-0.007192,0.017532,0.0,24.154898,1e-06,True,27.150704,1e-06,True
0.4,0.1,30,36,10,0.277778,-0.007856,0.017532,0.0,20.041255,8e-06,True,21.464202,2.2e-05,True
0.4,0.1,60,36,11,0.305556,-0.007267,0.017532,0.0,24.154898,1e-06,True,27.150704,1e-06,True
0.4,0.1,90,36,11,0.305556,-0.007192,0.017532,0.0,24.154898,1e-06,True,27.150704,1e-06,True
0.4,0.3,30,36,10,0.277778,-0.007856,0.017532,0.0,20.041255,8e-06,True,21.464202,2.2e-05,True
0.4,0.3,60,36,11,0.305556,-0.007267,0.017532,0.0,24.154898,1e-06,True,27.150704,1e-06,True
0.4,0.3,90,36,11,0.305556,-0.007192,0.017532,0.0,24.154898,1e-06,True,27.150704,1e-06,True
0.7,0.0,30,36,10,0.277778,-0.009806,0.017532,0.0,20.041255,8e-06,True,21.464202,2.2e-05,True
0.7,0.0,60,36,9,0.25,-0.009059,0.017532,0.0,16.204888,5.7e-05,True,19.142891,7e-05,True
0.7,0.0,90,36,11,0.305556,-0.008965,0.017532,0.0,24.154898,1e-06,True,27.150704,1e-06,True
0.7,0.1,30,36,10,0.277778,-0.009806,0.017532,0.0,20.041255,8e-06,True,21.464202,2.2e-05,True
0.7,0.1,60,36,9,0.25,-0.009059,0.017532,0.0,16.204888,5.7e-05,True,19.142891,7e-05,True
0.7,0.1,90,36,11,0.305556,-0.008965,0.017532,0.0,24.154898,1e-06,True,27.150704,1e-06,True
0.7,0.3,30,36,10,0.277778,-0.009806,0.017532,0.0,20.041255,8e-06,True,21.464202,2.2e-05,True
0.7,0.3,60,36,9,0.25,-0.009059,0.017532,0.0,16.204888,5.7e-05,True,19.142891,7e-05,True
0.7,0.3,90,36,11,0.305556,-0.008965,0.017532,0.0,24.154898,1e-06,True,27.150704,1e-06,True
